EmployeeNumber,Age,Tenure,Turnover,HourlyRate ,HoursWeekly,CompensationType,AnnualSalary,DrivingCommuterDistance,JobRoleArea,Gender,MaritalStatus,NumCompaniesPreviouslyWorked,AnnualProfessionalDevHrs,PaycheckMethod,TextMessageOptIn
23631,25,18,No,$81.95 ,40,Salary,"$122,756.99 ",75,Information Technology,Prefer Not to Answer,Married,6,N/A,Mail Check,No
10789,32,10,Yes,$18.22 ,40,Salary,"$139,725.03 ",182,Research,Female,Married,5,5,Mail Check,Yes
19282,20,20,No,$68.28 ,40,Salary,"$132,738.08 ",105,Healthcare,Male,Divorced,N/A,8,DirectDeposit,N/A
24547,19,10,No,$65.37 ,40,Salary,"$380,273.18 ",104,HumanResources,Prefer Not to Answer,Married,7,9,Direct Deposit,N/A
26839,59,23,Yes,$53.27 ,40,Salary,"$185,103.49 ",370,HumanResources,Prefer Not to Answer,Married,3,2,Mail_Check,Yes
24337,22,43,No,$46.83 ,40,Salary,"$293,175.11 ",63,Information Technology,Female,Married,6,1,MailedCheck,N/A
21881,31,37,No,$96.94 ,40,Salary,"$495,273.51 ",157,Information_Technology,Prefer Not to Answer,Married,4,15,Mail Check,N/A
29993,40,27,No,$70.03 ,40,Salary,"$210,469.82 ",491,HumanResources,Female,Married,2,15,Direct Deposit,Yes
15327,25,25,No,$47.15 ,40,Salary,"$375,958.40 ",26,Research,Female,Divorced,3,5,DirectDeposit,No
19068,51,31,No,$29.12 ,40,Salary,"$252,387.60 ",280,HumanResources,Female,Single,4,16,MailedCheck,Yes
10639,33,1,No,$77.69 ,40,Salary,"$483,682.91 ",217,Human_Resources,Prefer Not to Answer,Married,N/A,23,MailedCheck,No
16575,47,7,Yes,$79.48 ,40,Salary,"$430,115.88 ",296,Laboratory,Female,Single,N/A,15,Direct Deposit,No
25361,24,4,Yes,$58.87 ,40,Salary,"$92,343.19 ",462,Information_Technology,Female,Married,8,11,Direct_Deposit,Yes
19012,52,5,No,$32.62 ,40,Salary,"$379,754.58 ",184,Sales,Female,Divorced,3,22,Direct_Deposit,N/A
29024,46,6,Yes,$18.41 ,40,Salary,"$204,392.83 ",144,Human Resources,Male,Divorced,N/A,13,Mail_Check,No
20750,59,33,No,$23.45 ,40,Salary,"$334,829.99 ",4,Marketing,Female,Single,4,23,Mailed Check,Yes
28298,59,16,Yes,$52.45 ,40,Salary,"$361,260.80 ",151,Information Technology,Female,Married,6,25,MailedCheck,No
28497,42,20,Yes,$59.43 ,40,Salary,"$110,677.85 ",42,Information Technology,Female,Divorced,2,12,DirectDeposit,No
14475,51,19,No,$87.08 ,40,Salary,"$439,418.50 ",33,Human_Resources,Prefer Not to Answer,Married,9,9,Mailed Check,N/A
13651,19,32,No,$77.30 ,40,Salary,"$430,429.34 ",308,Information_Technology,Prefer Not to Answer,Married,N/A,12,DirectDeposit,N/A
10499,35,26,Yes,$42.35 ,40,Salary,"$212,127.70 ",497,InformationTechnology,Male,Married,2,5,Mail_Check,No
21918,53,29,No,$18.86 ,40,Salary,"$251,857.18 ",473,Sales,Prefer Not to Answer,Divorced,8,N/A,MailedCheck,Yes
20746,29,26,No,$56.41 ,40,Salary,"$229,025.39 ",483,Marketing,Male,Married,3,19,Mail Check,N/A
27865,35,40,Yes,$33.84 ,40,Salary,"$301,859.21 ",410,Information_Technology,Female,Divorced,9,20,MailedCheck,N/A
20601,28,18,No,$55.98 ,40,Salary,"$496,192.57 ",23,Human_Resources,Female,Divorced,3,17,MailedCheck,No
23124,24,14,Yes,$25.69 ,40,Salary,"$404,442.41 ",182,Information Technology,Male,Single,1,22,Direct Deposit,Yes
24563,58,42,No,$73.60 ,40,Salary,"$300,283.09 ",118,Marketing,Prefer Not to Answer,Single,7,11,Direct Deposit,Yes
25171,34,24,No,$81.02 ,40,Salary,"$168,335.27 ",150,Laboratory,Prefer Not to Answer,Married,9,24,Mail_Check,No
27809,24,32,Yes,$99.84 ,40,Salary,"$235,266.23 ",129,Human Resources,Female,Divorced,7,9,Mailed Check,No
28970,42,47,Yes,$86.36 ,40,Salary,"$212,878.29 ",406,Research,Male,Single,6,17,Mail_Check,N/A
22683,23,28,No,$96.24 ,40,Salary,"$499,932.38 ",92,Laboratory,Male,Married,8,12,Direct Deposit,No
23425,21,17,Yes,$80.18 ,40,Salary,"$185,906.08 ",172,Sales,Male,Single,4,20,Mailed Check,No
25229,57,37,Yes,$97.14 ,40,Salary,"$398,616.29 ",273,Human_Resources,Male,Married,3,2,Direct_Deposit,No
19908,64,10,Yes,$43.36 ,40,Salary,"$394,182.50 ",141,HumanResources,Male,Single,7,5,MailedCheck,N/A
28524,46,9,No,$93.10 ,40,Salary,"$444,074.83 ",364,Information Technology,Male,Divorced,5,7,Mail Check,No
26512,27,27,Yes,$84.36 ,40,Salary,"$132,442.09 ",346,Marketing,Male,Married,4,21,Mail Check,Yes
12347,39,40,No,$24.79 ,40,Salary,"$451,516.49 ",435,Healthcare,Male,Single,9,18,DirectDeposit,No
23572,23,43,Yes,$65.44 ,40,Salary,"$304,803.89 ",277,Sales,Prefer Not to Answer,Divorced,7,15,Mail Check,Yes
17712,37,47,No,$36.07 ,40,Salary,"$209,548.21 ",317,Sales,Female,Married,8,N/A,Mail_Check,N/A
26234,30,10,Yes,$84.99 ,40,Salary,"$315,504.67 ",333,Information_Technology,Male,Married,4,11,Mailed Check,Yes
28577,34,21,No,$63.50 ,40,Salary,"$494,120.28 ",246,Information_Technology,Female,Single,4,12,Mail_Check,N/A
15264,64,18,No,$49.58 ,40,Salary,"$239,001.85 ",151,Information Technology,Male,Divorced,N/A,22,DirectDeposit,No
18621,26,33,Yes,$87.23 ,40,Salary,"$156,059.24 ",341,Human Resources,Male,Divorced,7,10,Mail Check,N/A
14735,47,36,No,$24.01 ,40,Salary,"$274,783.36 ",32,Manufacturing,Prefer Not to Answer,Married,4,21,Mail Check,N/A
10705,42,3,No,$39.21 ,40,Salary,"$150,352.84 ",81,Marketing,Male,Married,8,3,Direct_Deposit,N/A
13614,49,8,No,$47.20 ,40,Salary,"$361,638.72 ",244,Research,Male,Married,2,4,DirectDeposit,N/A
22727,39,28,Yes,$98.93 ,40,Salary,"$86,749.15 ",356,Manufacturing,Male,Divorced,8,12,Direct Deposit,Yes
22182,62,16,Yes,$69.46 ,40,Salary,"$239,068.53 ",430,InformationTechnology,Prefer Not to Answer,Single,8,17,Direct Deposit,N/A
16785,44,35,No,$59.76 ,40,Salary,"$207,403.59 ",284,Marketing,Female,Married,1,13,Mail_Check,Yes
12979,60,12,No,$86.49 ,40,Salary,"$481,877.65 ",333,Information_Technology,Female,Single,8,5,MailedCheck,N/A
19942,62,38,No,$85.35 ,40,Salary,"$302,647.72 ",415,Human Resources,Female,Married,5,16,Mail Check,No
21197,55,27,Yes,$27.93 ,40,Salary,"$282,072.67 ",71,Manufacturing,Prefer Not to Answer,Single,6,22,Mail Check,No
20111,33,17,No,$38.32 ,40,Salary,"$334,309.67 ",32,Laboratory,Male,Divorced,7,19,MailedCheck,No
15654,19,42,Yes,$69.95 ,40,Salary,"$213,134.22 ",26,Marketing,Female,Single,3,8,Direct_Deposit,No
28952,60,13,No,$45.39 ,40,Salary,"$191,001.15 ",301,Research,Prefer Not to Answer,Single,8,2,DirectDeposit,N/A
14813,19,17,No,$40.41 ,40,Salary,"$455,430.94 ",90,HumanResources,Male,Married,1,21,Mail_Check,Yes
29284,61,42,No,$23.35 ,40,Salary,"$310,457.34 ",307,HumanResources,Prefer Not to Answer,Single,N/A,23,MailedCheck,Yes
28806,24,36,Yes,$72.70 ,40,Salary,"$119,197.22 ",96,InformationTechnology,Male,Married,7,12,Direct Deposit,Yes
22877,64,6,Yes,$53.53 ,40,Salary,"$258,744.65 ",98,HumanResources,Prefer Not to Answer,Single,3,20,Direct Deposit,Yes
28906,59,25,No,$64.40 ,40,Salary,"$424,243.01 ",432,InformationTechnology,Male,Single,2,5,Direct_Deposit,No
20692,19,30,No,$68.98 ,40,Salary,"$345,009.65 ",24,Human_Resources,Female,Single,7,6,DirectDeposit,N/A
28875,57,6,Yes,$79.51 ,40,Salary,"$323,343.11 ",5,Human Resources,Male,Married,3,14,MailedCheck,Yes
24730,38,2,Yes,$90.78 ,40,Salary,"$114,079.17 ",350,Research,Male,Single,3,14,Mailed Check,No
17720,37,19,No,$90.40 ,40,Salary,"$126,343.53 ",229,Human_Resources,Prefer Not to Answer,Divorced,4,20,Direct Deposit,Yes
29740,38,23,Yes,$82.18 ,40,Salary,"$119,200.25 ",203,Sales,Prefer Not to Answer,Divorced,4,12,Direct Deposit,No
29730,26,31,No,$90.09 ,40,Salary,"$414,107.67 ",417,InformationTechnology,Female,Single,1,12,DirectDeposit,Yes
27308,23,40,Yes,$95.40 ,40,Salary,"$120,740.28 ",344,Information Technology,Prefer Not to Answer,Married,N/A,5,MailedCheck,Yes
12854,65,10,Yes,$30.57 ,40,Salary,"$246,139.83 ",119,Information Technology,Prefer Not to Answer,Married,3,1,Mailed Check,N/A
11044,49,7,Yes,$49.23 ,40,Salary,"$170,107.55 ",287,InformationTechnology,Female,Single,8,18,Mailed Check,Yes
20026,44,30,No,$80.09 ,40,Salary,"$66,678.22 ",83,Human_Resources,Male,Divorced,N/A,11,Mail Check,No
10678,44,44,Yes,$27.05 ,40,Salary,"$350,241.50 ",270,Human Resources,Male,Divorced,3,18,Direct Deposit,No
10895,51,43,No,$37.63 ,40,Salary,"$416,267.81 ",436,Healthcare,Female,Married,8,7,Mail_Check,Yes
17137,22,30,Yes,$42.10 ,40,Salary,"$242,508.36 ",341,HumanResources,Prefer Not to Answer,Divorced,4,13,Mailed Check,Yes
10888,20,43,Yes,$43.83 ,40,Salary,"$445,120.44 ",409,Research,Female,Married,2,7,Mail_Check,Yes
10354,36,39,Yes,$27.84 ,40,Salary,"$89,775.93 ",114,Sales,Female,Married,8,16,Mailed Check,N/A
25786,45,7,No,$86.95 ,40,Salary,"$364,659.89 ",223,Research,Male,Married,6,10,DirectDeposit,N/A
18760,22,36,No,$22.54 ,40,Salary,"$460,989.48 ",285,InformationTechnology,Male,Single,4,3,Mail Check,No
20003,62,19,Yes,$56.13 ,40,Salary,"$449,948.44 ",165,Manufacturing,Female,Single,5,20,MailedCheck,Yes
28586,63,30,Yes,$61.77 ,40,Salary,"$449,820.34 ",44,Manufacturing,Male,Single,2,24,MailedCheck,Yes
20742,21,14,Yes,$46.59 ,40,Salary,"$56,652.22 ",475,Human_Resources,Prefer Not to Answer,Divorced,N/A,22,Direct Deposit,N/A
19604,21,27,Yes,$80.31 ,40,Salary,"$191,857.97 ",231,Sales,Prefer Not to Answer,Single,9,24,Mail Check,Yes
11202,35,45,No,$42.95 ,40,Salary,"$169,720.92 ",393,HumanResources,Prefer Not to Answer,Married,N/A,12,Mailed Check,No
24209,49,14,Yes,$73.29 ,40,Salary,"$441,374.08 ",415,Research,Prefer Not to Answer,Divorced,N/A,11,Mail_Check,Yes
24732,29,20,Yes,$28.43 ,40,Salary,"$428,469.17 ",428,Human_Resources,Male,Single,6,17,Direct Deposit,Yes
10501,41,22,Yes,$57.82 ,40,Salary,"$59,087.67 ",352,Manufacturing,Prefer Not to Answer,Divorced,9,15,DirectDeposit,No
21508,18,31,Yes,$52.19 ,40,Salary,"$436,268.01 ",3,Healthcare,Female,Single,9,9,Direct Deposit,No
18040,54,16,Yes,$43.50 ,40,Salary,"$344,831.47 ",69,Human_Resources,Female,Married,7,13,Direct_Deposit,No
10359,29,36,No,$87.84 ,40,Salary,"$437,185.23 ",167,Manufacturing,Male,Single,4,14,Mail Check,N/A
13210,56,35,No,$40.14 ,40,Salary,"$305,479.37 ",299,Research,Prefer Not to Answer,Divorced,8,9,Mailed Check,Yes
16318,28,13,Yes,$85.13 ,40,Salary,"$417,617.19 ",393,Manufacturing,Female,Married,9,1,Mailed Check,N/A
29679,50,18,No,$18.37 ,40,Salary,"$129,114.71 ",95,Marketing,Male,Single,1,10,Mail_Check,N/A
23152,37,6,Yes,$68.62 ,40,Salary,"$397,016.33 ",427,Research,Prefer Not to Answer,Single,6,9,Mail_Check,No
23582,52,23,Yes,$79.17 ,40,Salary,"$128,982.40 ",41,Human Resources,Male,Single,5,12,MailedCheck,No
26407,46,33,Yes,$97.75 ,40,Salary,"$97,157.58 ",241,Healthcare,Male,Single,5,3,MailedCheck,Yes
12441,32,37,Yes,$21.91 ,40,Salary,"$446,530.37 ",132,Information Technology,Male,Single,3,6,Direct_Deposit,Yes
26348,27,13,Yes,$62.36 ,40,Salary,"$401,040.22 ",349,Healthcare,Prefer Not to Answer,Married,8,7,Mailed Check,N/A
12402,57,4,Yes,$39.06 ,40,Salary,"$353,334.71 ",229,Healthcare,Female,Divorced,7,5,Mailed Check,No
23985,57,16,No,$20.23 ,40,Salary,"$298,321.64 ",266,Information Technology,Prefer Not to Answer,Married,1,7,Mail Check,No
29748,49,30,Yes,$47.21 ,40,Salary,"$228,170.53 ",158,Human_Resources,Male,Married,3,13,MailedCheck,No
17572,30,10,Yes,$34.76 ,40,Salary,"$247,079.31 ",177,Healthcare,Male,Divorced,9,2,Mail Check,No
17672,46,35,No,$99.05 ,40,Salary,"$136,521.67 ",367,Sales,Female,Married,7,13,Mailed Check,N/A
13087,63,9,No,$77.57 ,40,Salary,"$391,249.00 ",480,Marketing,Male,Divorced,8,13,Direct_Deposit,N/A
20753,61,12,Yes,$17.09 ,40,Salary,"$398,267.00 ",108,Research,Prefer Not to Answer,Married,9,17,DirectDeposit,N/A
10559,44,3,No,$24.52 ,40,Salary,"$370,647.95 ",259,Manufacturing,Female,Married,5,18,Mail_Check,N/A
27347,34,32,No,$33.40 ,40,Salary,"$238,156.20 ",166,Information_Technology,Prefer Not to Answer,Divorced,1,8,MailedCheck,Yes
10238,57,25,Yes,$69.74 ,40,Salary,"$97,083.64 ",401,Healthcare,Prefer Not to Answer,Divorced,5,20,Mail_Check,No
28738,32,33,Yes,$55.18 ,40,Salary,"$403,519.84 ",297,Healthcare,Male,Divorced,4,8,DirectDeposit,Yes
15158,19,9,Yes,$24.03 ,40,Salary,"$409,883.07 ",384,Research,Prefer Not to Answer,Single,1,3,Mailed Check,N/A
19682,35,6,No,$50.84 ,40,Salary,"$176,560.24 ",41,Marketing,Prefer Not to Answer,Single,3,20,MailedCheck,Yes
12675,43,2,Yes,$64.77 ,40,Salary,"$158,998.91 ",266,Healthcare,Female,Single,5,23,Direct_Deposit,Yes
14140,45,34,Yes,$37.11 ,40,Salary,"$481,235.43 ",69,HumanResources,Prefer Not to Answer,Divorced,1,4,DirectDeposit,No
15331,18,15,No,$19.51 ,40,Salary,"$112,851.99 ",298,Manufacturing,Female,Married,9,25,MailedCheck,N/A
24982,31,44,Yes,$39.97 ,40,Salary,"$110,128.17 ",396,Human Resources,Male,Married,9,1,Mail Check,Yes
21625,58,34,No,$27.07 ,40,Salary,"$162,703.44 ",464,Information_Technology,Male,Divorced,4,15,Direct_Deposit,No
19033,31,16,Yes,$17.12 ,40,Salary,"$172,891.88 ",481,Sales,Female,Married,8,24,Direct Deposit,No
16932,32,23,No,$74.35 ,40,Salary,"$327,019.14 ",283,Manufacturing,Male,Single,N/A,15,Direct_Deposit,Yes
20806,44,27,No,$19.96 ,40,Salary,"$320,595.54 ",215,Information Technology,Male,Married,4,15,Mail Check,Yes
17921,55,16,No,$38.18 ,40,Salary,"$178,866.79 ",460,Healthcare,Female,Divorced,1,15,MailedCheck,No
10444,57,30,Yes,$54.82 ,40,Salary,"$225,143.39 ",173,InformationTechnology,Male,Married,7,21,MailedCheck,N/A
25474,45,32,No,$96.99 ,40,Salary,"$68,706.74 ",358,Sales,Prefer Not to Answer,Married,N/A,25,Mail_Check,Yes
18392,44,46,Yes,$77.71 ,40,Salary,"$370,837.94 ",326,Information_Technology,Male,Married,4,7,Mail Check,No
22495,30,4,No,$90.83 ,40,Salary,"$457,757.83 ",310,Research,Prefer Not to Answer,Married,1,6,Mail Check,Yes
10481,52,46,Yes,$18.09 ,40,Salary,"$487,779.00 ",17,Healthcare,Male,Single,3,19,MailedCheck,Yes
16146,25,45,Yes,$95.57 ,40,Salary,"$447,889.65 ",292,Information Technology,Male,Single,2,14,Mailed Check,Yes
29253,35,6,No,$66.57 ,40,Salary,"$79,341.48 ",457,HumanResources,Female,Married,2,12,DirectDeposit,No
26228,40,25,Yes,$39.01 ,40,Salary,"$212,798.93 ",69,Information_Technology,Prefer Not to Answer,Married,2,24,DirectDeposit,Yes
23162,58,46,Yes,$25.05 ,40,Salary,"$56,318.00 ",209,Marketing,Male,Married,N/A,5,Mailed Check,No
16074,26,6,No,$93.12 ,40,Salary,"$364,545.56 ",36,Laboratory,Female,Single,5,18,Mail_Check,Yes
22510,42,41,Yes,$24.55 ,40,Salary,"$361,138.72 ",231,Information_Technology,Female,Divorced,7,18,Mail_Check,Yes
26091,61,36,No,$50.46 ,40,Salary,"$230,631.12 ",85,Information_Technology,Prefer Not to Answer,Single,N/A,10,Direct Deposit,Yes
14748,46,6,No,$25.15 ,40,Salary,"$394,902.91 ",293,InformationTechnology,Male,Married,7,6,Mail Check,Yes
13543,47,18,Yes,$33.90 ,40,Salary,"$341,440.16 ",250,InformationTechnology,Prefer Not to Answer,Divorced,5,22,MailedCheck,Yes
13488,52,43,No,$76.02 ,40,Salary,"$87,888.81 ",130,HumanResources,Female,Divorced,9,5,MailedCheck,N/A
19077,34,4,No,$66.13 ,40,Salary,"$106,837.21 ",339,Research,Male,Divorced,7,10,Direct_Deposit,Yes
26482,25,2,No,$63.97 ,40,Salary,"$446,086.87 ",185,Research,Male,Divorced,8,24,Direct_Deposit,Yes
11024,60,16,Yes,$27.02 ,40,Salary,"$232,101.15 ",443,Human Resources,Male,Single,7,10,Mail_Check,Yes
18986,28,35,Yes,$39.08 ,40,Salary,"$194,710.12 ",233,Manufacturing,Prefer Not to Answer,Single,7,12,Direct Deposit,No
24106,43,17,No,$48.52 ,40,Salary,"$157,524.12 ",97,Human_Resources,Male,Divorced,N/A,8,Mail_Check,Yes
21991,30,43,No,$73.33 ,40,Salary,"$142,634.89 ",72,Sales,Male,Single,9,N/A,Mail Check,N/A
20413,43,32,Yes,$59.28 ,40,Salary,"$446,550.52 ",153,Laboratory,Male,Single,7,21,DirectDeposit,Yes
21294,24,40,Yes,$74.62 ,40,Salary,"$195,489.49 ",125,Manufacturing,Female,Divorced,9,2,Mailed Check,No
22974,62,5,No,$27.25 ,40,Salary,"$348,283.82 ",315,Research,Male,Divorced,2,7,MailedCheck,Yes
25405,37,17,No,$22.85 ,40,Salary,"$432,118.43 ",462,Information_Technology,Male,Single,8,4,Mail Check,N/A
16879,43,17,Yes,$52.61 ,40,Salary,"$373,106.97 ",283,Manufacturing,Female,Divorced,9,9,Mail Check,N/A
24904,58,15,Yes,$20.72 ,40,Salary,"$385,163.91 ",425,Information Technology,Male,Divorced,3,16,DirectDeposit,No
14675,58,23,No,$37.47 ,40,Salary,"$246,642.97 ",210,HumanResources,Male,Single,2,13,Mailed Check,N/A
13382,63,15,No,$38.74 ,40,Salary,"$342,862.43 ",133,Manufacturing,Male,Single,2,5,Direct_Deposit,No
15554,45,34,Yes,$72.56 ,40,Salary,"$258,737.57 ",429,InformationTechnology,Female,Married,7,7,Mail_Check,No
14226,37,33,Yes,$51.90 ,40,Salary,"$379,055.56 ",315,Human_Resources,Female,Single,2,19,DirectDeposit,N/A
14150,51,38,Yes,$19.91 ,40,Salary,"$495,918.03 ",216,HumanResources,Male,Single,N/A,4,Mail_Check,No
18833,56,10,Yes,$53.39 ,40,Salary,"$62,357.86 ",128,Human Resources,Female,Single,5,6,MailedCheck,Yes
15266,49,43,No,$37.73 ,40,Salary,"$263,490.58 ",112,Manufacturing,Male,Divorced,6,24,Direct Deposit,Yes
25880,43,3,Yes,$87.67 ,40,Salary,"$327,465.95 ",426,Marketing,Female,Married,1,10,DirectDeposit,No
11368,52,3,No,$17.52 ,40,Salary,"$144,405.10 ",401,Sales,Male,Divorced,2,22,Mail_Check,Yes
12499,29,3,No,$28.75 ,40,Salary,"$274,677.30 ",215,Human Resources,Prefer Not to Answer,Married,9,10,Mailed Check,N/A
19640,37,6,Yes,$31.48 ,40,Salary,"$418,439.02 ",168,Manufacturing,Female,Married,2,17,Mail_Check,No
16841,34,29,No,$77.95 ,40,Salary,"$110,959.82 ",233,Human_Resources,Prefer Not to Answer,Single,8,19,DirectDeposit,No
14540,42,13,Yes,$63.06 ,40,Salary,"$450,662.93 ",67,HumanResources,Female,Divorced,9,25,Direct_Deposit,N/A
14693,23,12,Yes,$94.72 ,40,Salary,"$329,480.14 ",17,Research,Prefer Not to Answer,Divorced,2,10,MailedCheck,N/A
25246,31,26,No,$78.84 ,40,Salary,"$163,946.79 ",313,Marketing,Male,Divorced,8,15,Mail_Check,Yes
20358,48,20,No,$46.74 ,40,Salary,"$174,369.37 ",464,Research,Prefer Not to Answer,Divorced,3,23,Mail Check,No
13727,32,4,Yes,$95.84 ,40,Salary,"$358,513.93 ",329,Manufacturing,Female,Single,9,7,Mail_Check,N/A
13852,19,17,Yes,$27.30 ,40,Salary,"$389,898.92 ",160,Marketing,Male,Single,2,11,Mail_Check,No
25790,43,16,Yes,$97.29 ,40,Salary,"$83,689.41 ",434,Laboratory,Female,Married,8,7,Direct Deposit,Yes
24221,64,15,No,$78.30 ,40,Salary,"$280,001.01 ",316,Information Technology,Female,Married,6,6,Mail Check,N/A
21337,20,23,No,$48.09 ,40,Salary,"$313,471.60 ",232,InformationTechnology,Prefer Not to Answer,Married,N/A,6,Mail Check,No
15969,51,32,Yes,$72.53 ,40,Salary,"$140,802.05 ",263,Information Technology,Prefer Not to Answer,Divorced,7,12,DirectDeposit,No
27417,37,23,Yes,$22.87 ,40,Salary,"$435,625.95 ",151,Information_Technology,Prefer Not to Answer,Single,2,7,MailedCheck,Yes
15774,49,40,No,$40.01 ,40,Salary,"$106,086.04 ",209,Healthcare,Prefer Not to Answer,Married,1,3,MailedCheck,N/A
16197,24,47,No,$37.05 ,40,Salary,"$56,957.70 ",22,Human_Resources,Male,Married,N/A,7,MailedCheck,Yes
29572,46,39,Yes,$95.21 ,40,Salary,"$457,788.26 ",436,Human Resources,Prefer Not to Answer,Single,1,13,Direct_Deposit,N/A
22607,54,24,No,$91.40 ,40,Salary,"$499,751.81 ",133,HumanResources,Prefer Not to Answer,Married,1,7,Mail_Check,Yes
26683,42,2,Yes,$77.83 ,40,Salary,"$235,680.37 ",38,Laboratory,Prefer Not to Answer,Married,5,20,Mail Check,N/A
20510,46,16,Yes,$32.46 ,40,Salary,"$406,649.36 ",318,Manufacturing,Female,Married,2,16,Direct_Deposit,No
19216,57,7,No,$57.81 ,40,Salary,"$395,287.49 ",230,Human Resources,Female,Divorced,3,14,MailedCheck,Yes
20441,27,14,No,$18.21 ,40,Salary,"$56,412.94 ",351,Information_Technology,Male,Single,1,4,Direct Deposit,N/A
11009,62,6,Yes,$81.85 ,40,Salary,"$457,900.72 ",384,Information Technology,Male,Single,5,13,Direct Deposit,No
17510,46,34,Yes,$48.29 ,40,Salary,"$95,263.39 ",455,Laboratory,Male,Married,5,23,DirectDeposit,No
13311,59,26,No,$66.36 ,40,Salary,"$422,738.14 ",86,Information Technology,Female,Divorced,3,18,Mail_Check,N/A
18796,51,15,Yes,$43.91 ,40,Salary,"$115,912.87 ",317,Manufacturing,Male,Married,6,24,Direct Deposit,No
13102,59,21,Yes,$65.53 ,40,Salary,"$218,827.00 ",361,Laboratory,Female,Single,4,19,Mail_Check,Yes
21713,19,11,Yes,$82.28 ,40,Salary,"$152,850.74 ",9,Human_Resources,Prefer Not to Answer,Married,7,2,DirectDeposit,Yes
23536,28,21,Yes,$77.10 ,40,Salary,"$130,490.55 ",374,HumanResources,Female,Divorced,9,5,DirectDeposit,N/A
21206,29,37,Yes,$97.40 ,40,Salary,"$118,720.46 ",286,Marketing,Prefer Not to Answer,Divorced,8,21,Mailed Check,Yes
28239,35,27,No,$77.99 ,40,Salary,"$230,172.56 ",260,InformationTechnology,Prefer Not to Answer,Single,N/A,6,Direct_Deposit,N/A
10477,58,32,Yes,$21.86 ,40,Salary,"$332,555.51 ",478,Laboratory,Female,Divorced,4,8,Direct_Deposit,Yes
21651,37,7,Yes,$78.34 ,40,Salary,"$134,414.46 ",396,Human_Resources,Female,Married,2,19,Mailed Check,N/A
10881,45,11,Yes,$46.87 ,40,Salary,"$412,565.67 ",403,Information Technology,Prefer Not to Answer,Married,7,13,Mailed Check,Yes
19557,29,35,No,$55.77 ,40,Salary,"$351,331.41 ",109,Human_Resources,Female,Single,9,6,Mailed Check,No
10975,58,46,Yes,$76.19 ,40,Salary,"$472,631.62 ",256,HumanResources,Female,Divorced,N/A,19,MailedCheck,No
17049,40,15,Yes,$45.43 ,40,Salary,"$378,389.86 ",267,Human Resources,Prefer Not to Answer,Married,2,7,Mailed Check,Yes
22080,40,46,Yes,$71.03 ,40,Salary,"$293,839.68 ",237,Information_Technology,Female,Divorced,6,18,Direct Deposit,Yes
29720,60,19,No,$59.17 ,40,Salary,"$415,433.42 ",339,Research,Prefer Not to Answer,Married,3,10,Direct_Deposit,N/A
27288,58,21,No,$26.01 ,40,Salary,"$362,106.81 ",187,InformationTechnology,Female,Single,N/A,2,Mailed Check,No
24961,30,35,No,$68.68 ,40,Salary,"$400,082.08 ",90,Information_Technology,Prefer Not to Answer,Single,5,23,Mail Check,Yes
28405,42,29,No,$37.23 ,40,Salary,"$260,017.06 ",110,Manufacturing,Male,Single,6,19,Mailed Check,No
22298,62,30,Yes,$71.89 ,40,Salary,"$231,240.37 ",197,Information Technology,Male,Divorced,8,5,Mailed Check,No
21424,45,44,No,$54.47 ,40,Salary,"$339,382.12 ",356,Human Resources,Prefer Not to Answer,Single,9,8,MailedCheck,N/A
25434,33,18,Yes,$68.67 ,40,Salary,"$150,283.54 ",194,Human Resources,Female,Divorced,3,11,Direct_Deposit,No
23320,60,27,Yes,$90.58 ,40,Salary,"$288,041.63 ",288,Laboratory,Prefer Not to Answer,Married,9,24,Direct_Deposit,N/A
13534,48,35,No,$98.77 ,40,Salary,"$95,438.03 ",267,Human_Resources,Male,Married,3,9,Direct Deposit,N/A
25084,56,16,Yes,$39.32 ,40,Salary,"$263,108.58 ",472,Information Technology,Prefer Not to Answer,Single,4,7,Direct_Deposit,N/A
28812,61,23,Yes,$71.43 ,40,Salary,"$56,134.70 ",145,Human Resources,Female,Single,7,6,Mail_Check,N/A
12867,47,29,Yes,$97.82 ,40,Salary,"$416,427.01 ",179,Human_Resources,Male,Divorced,1,24,Mailed Check,Yes
23200,26,16,Yes,$72.30 ,40,Salary,"$222,531.94 ",1,Information Technology,Male,Divorced,3,3,Mail_Check,N/A
14074,21,37,No,$87.57 ,40,Salary,"$445,664.74 ",174,Human Resources,Prefer Not to Answer,Single,3,4,MailedCheck,Yes
19872,58,26,No,$23.02 ,40,Salary,"$84,446.30 ",226,Information_Technology,Male,Married,9,22,Mail Check,N/A
22576,31,28,No,$51.27 ,40,Salary,"$431,001.66 ",423,Marketing,Female,Single,3,6,Mail_Check,No
10036,38,14,Yes,$42.64 ,40,Salary,"$415,487.57 ",449,Human_Resources,Male,Single,9,9,Direct Deposit,No
24845,26,26,Yes,$43.80 ,40,Salary,"$477,092.57 ",491,Information Technology,Male,Divorced,9,6,DirectDeposit,No
24277,20,15,No,$44.32 ,40,Salary,"$474,995.68 ",154,Research,Female,Divorced,3,23,Direct Deposit,N/A
18096,39,39,Yes,$98.85 ,40,Salary,"$185,685.25 ",261,Laboratory,Female,Divorced,8,6,DirectDeposit,N/A
13275,57,27,No,$68.54 ,40,Salary,"$57,603.52 ",172,Manufacturing,Male,Married,2,8,Mail_Check,Yes
