,EmployeeNumber,Age,Turnover,HourlyRate,HoursWeekly,CompensationType,AnnualSalary_Calc,DrivingCommuterDistance,JobRoleArea,Gender,MaritalStatus,NumCompaniesPreviouslyWorked_capped,AnnualProfessionalDevHrs_capped,PaycheckMethod,TextMessageOptIn,Tenure_Calc_capped
3976,15543,57,Yes,22.41,40,Salary,46612.799999999996,81,Marketing,Prefer Not to Answer,Single,1.0,2.0,Mailed Check,Yes,16
2031,15545,55,No,71.93,40,Salary,149614.40000000002,472,Manufacturing,Male,Single,1.0,18.0,Mailed Check,No,27
2975,15548,23,No,17.96,40,Salary,37356.8,177,Information_Technology,Male,Married,9.0,6.0,Mailed Check,Yes,0
828,15550,23,No,60.58,40,Salary,126006.4,62,Manufacturing,Prefer Not to Answer,Married,2.0,20.0,Direct Deposit,No,3
68,15552,30,Yes,54.27,40,Salary,112881.6,12,Laboratory,Female,Single,4.0,19.0,Direct Deposit,Yes,0
2489,15554,45,Yes,72.56,40,Salary,150924.80000000002,429,InformationTechnology,Female,Married,7.0,7.0,Mailed Check,No,11
1565,15557,60,No,83.36,40,Salary,173388.80000000002,102,HumanResources,Male,Divorced,9.0,12.0,Direct Deposit,No,6
5185,15558,58,No,23.24,40,Salary,48339.2,305,Sales,Male,Married,4.0,5.0,Mailed Check,No,23
5281,15559,26,Yes,37.33,40,Salary,77646.4,229,Healthcare,Female,Single,6.0,8.0,Direct Deposit,Yes,16
12100,15564,57,Yes,55.91,40,Salary,116292.79999999999,257,Sales,Male,Married,8.0,19.0,Mailed Check,No,10
5080,15570,50,Yes,74.91,40,Salary,155812.8,133,Research,Female,Married,4.0,3.0,Mailed Check,No,15
1391,15574,41,No,66.09,40,Salary,137467.2,133,Human_Resources,Prefer Not to Answer,Married,8.0,22.0,Mailed Check,Yes,0
12598,15581,57,No,34.32,40,Salary,71385.59999999999,439,InformationTechnology,Prefer Not to Answer,Single,1.0,2.0,Direct Deposit,No,32
5530,15587,42,Yes,80.11,40,Salary,166628.80000000002,178,HumanResources,Female,Single,15.5,3.0,Mailed Check,No,7
1139,15591,43,No,35.8,40,Salary,74464.0,339,Manufacturing,Female,Divorced,8.0,2.0,Direct Deposit,No,17
46,15595,48,Yes,35.52,40,Salary,73881.6,67,Marketing,Male,Single,4.0,4.0,Mailed Check,Yes,19
1809,15597,62,No,79.66,40,Salary,165692.8,392,Research,Female,Divorced,1.0,23.0,Mailed Check,No,20
4030,15602,32,Yes,39.78,40,Salary,82742.40000000001,438,Information Technology,Prefer Not to Answer,Married,3.0,9.0,Mailed Check,No,4
1141,15603,53,Yes,83.33,40,Salary,173326.4,110,Marketing,Male,Single,5.0,6.0,Mailed Check,No,30
5717,15609,23,Yes,60.52,40,Salary,125881.6,81,Laboratory,Male,Divorced,2.0,9.0,Mailed Check,No,0
347,15610,37,Yes,50.94,40,Salary,105955.2,234,HumanResources,Male,Divorced,7.0,15.0,Direct Deposit,Yes,8
1903,15612,50,Yes,37.58,40,Salary,78166.4,314,InformationTechnology,Female,Single,4.0,17.0,Direct Deposit,No,19
751,15618,54,Yes,94.34,40,Salary,196227.2,194,Information Technology,Female,Married,3.0,24.0,Mailed Check,No,8
12389,15622,59,No,18.82,40,Salary,39145.6,27,Human_Resources,Male,Single,7.0,24.0,Mailed Check,Yes,7
12333,15631,37,Yes,84.42,40,Salary,175593.6,143,Human_Resources,Prefer Not to Answer,Divorced,5.0,16.0,Mailed Check,Yes,19
5674,15634,30,No,45.91,40,Salary,95492.79999999999,216,Sales,Female,Married,4.0,9.0,Mailed Check,No,4
12424,15636,37,No,85.02,40,Salary,176841.59999999998,107,Marketing,Female,Married,3.0,24.0,Direct Deposit,No,11
1703,15638,32,No,98.57,40,Salary,205025.59999999998,260,Human Resources,Male,Married,5.0,3.0,Mailed Check,No,9
2890,15640,31,No,29.26,40,Salary,60860.8,229,InformationTechnology,Prefer Not to Answer,Single,8.0,9.0,Mailed Check,No,0
3620,15641,24,No,71.91,40,Salary,149572.8,278,Sales,Male,Married,7.0,15.0,Mailed Check,No,16
12485,15644,64,Yes,91.89,40,Salary,191131.19999999998,352,Sales,Prefer Not to Answer,Married,2.0,7.0,Direct Deposit,Yes,33
4220,15654,61,Yes,42.1,40,Salary,87568.0,17,Marketing,Female,Single,8.0,3.0,Direct Deposit,No,17
3989,15656,64,No,90.59,40,Salary,188427.2,134,Laboratory,Prefer Not to Answer,Married,6.0,14.0,Direct Deposit,No,37
5148,15657,28,Yes,95.31,40,Salary,198244.80000000002,277,InformationTechnology,Prefer Not to Answer,Single,9.0,39.5,Mailed Check,Yes,0
4851,15667,23,Yes,90.32,40,Salary,187865.59999999998,273,Information Technology,Male,Single,8.0,4.0,Direct Deposit,No,0
5712,15672,46,Yes,50.06,40,Salary,104124.8,252,HumanResources,Prefer Not to Answer,Single,8.0,4.0,Mailed Check,No,7
12622,15673,26,Yes,92.31,40,Salary,192004.80000000002,234,HumanResources,Female,Single,9.0,19.0,Mailed Check,No,0
539,15676,57,No,65.42,40,Salary,136073.6,474,Healthcare,Female,Divorced,3.0,11.0,Mailed Check,No,12
5331,15679,46,No,29.26,40,Salary,60860.8,434,Sales,Female,Divorced,8.0,6.0,Mailed Check,Yes,26
5315,15683,54,Yes,39.77,40,Salary,82721.6,396,Healthcare,Male,Married,4.0,25.0,Mailed Check,No,35
1752,15685,52,No,86.64,40,Salary,180211.19999999998,248,Human_Resources,Female,Married,4.0,4.0,Mailed Check,No,2
3702,15686,43,Yes,54.09,40,Salary,112507.20000000001,457,Human_Resources,Female,Married,2.0,10.0,Mailed Check,No,3
3038,15692,25,Yes,77.72,40,Salary,161657.6,33,InformationTechnology,Prefer Not to Answer,Single,7.0,17.0,Mailed Check,No,1
12216,15697,37,Yes,74.73,40,Salary,155438.40000000002,261,Sales,Prefer Not to Answer,Single,8.0,15.0,Mailed Check,No,7
1541,15698,36,Yes,70.19,40,Salary,145995.19999999998,303,Research,Prefer Not to Answer,Married,6.0,2.0,Direct Deposit,No,18
748,15699,23,No,64.41,40,Salary,133972.8,325,Information_Technology,Prefer Not to Answer,Single,7.0,39.5,Direct Deposit,No,0
2038,15700,62,Yes,26.49,40,Salary,55099.2,48,Manufacturing,Prefer Not to Answer,Single,9.0,39.5,Direct Deposit,Yes,37
5700,15709,50,No,92.84,40,Salary,193107.2,185,Sales,Prefer Not to Answer,Single,8.0,4.0,Mailed Check,No,6
2118,15711,64,No,28.01,40,Salary,58260.8,204,Laboratory,Female,Married,4.0,24.0,Mailed Check,No,4
1281,15718,39,No,95.81,40,Salary,199284.80000000002,371,Marketing,Female,Married,1.0,10.0,Mailed Check,Yes,13
12,15719,25,Yes,25.2,40,Salary,52416.0,274,InformationTechnology,Female,Married,7.0,13.0,Direct Deposit,Yes,0
5751,15721,57,Yes,97.88,40,Salary,203590.4,225,Information Technology,Prefer Not to Answer,Single,9.0,7.0,Mailed Check,No,18
5288,15725,40,Yes,40.66,40,Salary,84572.79999999999,407,Laboratory,Prefer Not to Answer,Divorced,9.0,8.0,Mailed Check,No,13
2937,15727,36,No,78.17,40,Salary,162593.6,459,Human Resources,Female,Divorced,4.0,21.0,Direct Deposit,No,0
5437,15728,27,Yes,19.09,40,Salary,39707.200000000004,267,Marketing,Male,Divorced,6.0,14.0,Mailed Check,No,11
915,15730,62,No,92.25,40,Salary,191880.0,453,Human_Resources,Male,Single,6.0,5.0,Direct Deposit,No,32
1697,15739,44,No,43.43,40,Salary,90334.40000000001,141,InformationTechnology,Female,Married,15.5,24.0,Direct Deposit,No,14
4539,15743,21,No,42.33,40,Salary,88046.4,364,Manufacturing,Female,Divorced,5.0,7.0,Mailed Check,No,0
12284,15748,45,No,67.55,40,Salary,140504.0,239,Human_Resources,Female,Married,5.0,16.0,Direct Deposit,No,4
4550,15760,39,No,50.28,40,Salary,104582.40000000001,228,Information_Technology,Prefer Not to Answer,Married,5.0,13.0,Direct Deposit,No,1
12555,15761,23,Yes,62.92,40,Salary,130873.6,118,InformationTechnology,Female,Married,7.0,17.0,Direct Deposit,Yes,1
5707,15764,32,Yes,76.14,40,Salary,158371.19999999998,202,Human Resources,Prefer Not to Answer,Single,3.0,8.0,Mailed Check,Yes,12
4345,15771,41,Yes,67.93,40,Salary,141294.40000000002,242,Research,Prefer Not to Answer,Married,7.0,10.0,Mailed Check,No,3
2510,15774,49,No,40.01,40,Salary,83220.79999999999,209,Healthcare,Prefer Not to Answer,Married,1.0,3.0,Mailed Check,No,9
2949,15776,47,No,48.03,40,Salary,99902.40000000001,378,HumanResources,Prefer Not to Answer,Divorced,1.0,4.0,Mailed Check,Yes,14
1961,15787,30,No,51.52,40,Salary,107161.6,243,Human Resources,Prefer Not to Answer,Divorced,8.0,23.0,Mailed Check,No,11
12431,15788,59,Yes,50.51,40,Salary,105060.79999999999,202,Marketing,Male,Divorced,4.0,14.0,Direct Deposit,No,26
12649,15796,60,No,17.29,40,Salary,35963.2,181,Healthcare,Prefer Not to Answer,Single,9.0,5.0,Direct Deposit,No,23
4437,15798,62,No,29.46,40,Salary,61276.8,375,Human Resources,Female,Married,5.0,22.0,Direct Deposit,No,15
784,15801,26,No,44.29,40,Salary,92123.2,475,Sales,Prefer Not to Answer,Single,2.0,4.0,Mailed Check,No,3
965,15804,44,No,95.04,40,Salary,197683.2,64,Research,Prefer Not to Answer,Married,4.0,17.0,Direct Deposit,Yes,0
5489,15805,40,No,49.83,40,Salary,103646.4,243,Manufacturing,Female,Married,7.0,23.0,Direct Deposit,No,10
3461,15806,65,Yes,61.59,40,Salary,128107.20000000001,369,Human Resources,Prefer Not to Answer,Single,15.5,8.0,Direct Deposit,Yes,6
1157,15810,35,Yes,49.1,40,Salary,102128.0,233,Healthcare,Female,Married,5.0,1.0,Mailed Check,Yes,9
5660,15814,34,No,81.02,40,Salary,168521.59999999998,158,Human_Resources,Prefer Not to Answer,Single,1.0,20.0,Mailed Check,No,0
12581,15820,62,No,59.52,40,Salary,123801.6,9,Manufacturing,Prefer Not to Answer,Divorced,5.0,6.0,Mailed Check,Yes,15
504,15829,20,Yes,65.66,40,Salary,136572.8,241,Manufacturing,Female,Divorced,2.0,24.0,Mailed Check,Yes,10
2808,15830,35,No,63.97,40,Salary,133057.6,289,Research,Male,Married,15.5,25.0,Mailed Check,No,14
4664,15833,50,Yes,93.05,40,Salary,193544.0,321,Laboratory,Male,Divorced,9.0,9.0,Mailed Check,No,20
12173,15834,18,No,85.07,40,Salary,176945.59999999998,307,Research,Prefer Not to Answer,Single,8.0,19.0,Direct Deposit,No,0
1880,15835,43,Yes,72.42,40,Salary,150633.6,68,InformationTechnology,Female,Single,5.0,20.0,Mailed Check,No,10
1058,15837,49,Yes,86.91,40,Salary,180772.8,78,Information_Technology,Female,Married,2.0,5.0,Direct Deposit,No,5
503,15838,46,Yes,49.91,40,Salary,103812.79999999999,203,Information_Technology,Male,Divorced,4.0,16.0,Direct Deposit,No,9
4580,15843,63,No,51.95,40,Salary,108056.0,3,Marketing,Female,Single,7.0,3.0,Direct Deposit,No,32
2591,15848,62,No,33.08,40,Salary,68806.4,182,Sales,Male,Single,3.0,2.0,Mailed Check,No,10
4270,15852,63,No,70.13,40,Salary,145870.4,7,Human_Resources,Male,Divorced,15.5,16.0,Mailed Check,No,25
3331,15853,22,Yes,84.12,40,Salary,174969.6,301,HumanResources,Male,Divorced,7.0,2.0,Mailed Check,No,0
814,15854,54,Yes,92.72,40,Salary,192857.6,5,Human Resources,Male,Married,5.0,5.0,Mailed Check,No,7
4524,15855,49,No,88.03,40,Salary,183102.4,338,Information_Technology,Male,Divorced,1.0,11.0,Mailed Check,No,18
1776,15859,59,No,29.33,40,Salary,61006.399999999994,163,Research,Female,Divorced,5.0,6.0,Mailed Check,Yes,2
5965,15862,50,Yes,26.81,40,Salary,55764.799999999996,343,Sales,Male,Single,15.5,20.0,Mailed Check,No,8
12444,15865,57,No,40.26,40,Salary,83740.79999999999,148,Marketing,Prefer Not to Answer,Single,6.0,19.0,Direct Deposit,Yes,6
4118,15867,50,No,88.64,40,Salary,184371.19999999998,101,Information_Technology,Male,Married,4.0,8.0,Mailed Check,No,17
12558,15868,27,No,21.05,40,Salary,43784.0,311,Healthcare,Female,Married,7.0,16.0,Mailed Check,No,0
4124,15874,41,Yes,36.27,40,Salary,75441.6,460,HumanResources,Female,Divorced,9.0,18.0,Mailed Check,No,10
3232,15883,21,Yes,80.27,40,Salary,166961.59999999998,369,HumanResources,Female,Single,6.0,8.0,Direct Deposit,Yes,0
3452,15884,47,No,90.57,40,Salary,188385.59999999998,447,Research,Prefer Not to Answer,Single,3.0,9.0,Direct Deposit,No,26
5523,15885,44,Yes,26.92,40,Salary,55993.600000000006,198,InformationTechnology,Male,Divorced,1.0,12.0,Mailed Check,Yes,9
3237,15886,31,No,85.21,40,Salary,177236.8,286,Human Resources,Female,Married,3.0,12.0,Mailed Check,No,8
238,15888,34,No,72.89,40,Salary,151611.19999999998,343,HumanResources,Male,Divorced,9.0,21.0,Mailed Check,No,0
4285,15896,32,Yes,41.07,40,Salary,85425.59999999999,472,HumanResources,Female,Single,5.0,19.0,Mailed Check,No,10
12684,15897,26,Yes,90.53,40,Salary,188302.4,383,Human_Resources,Female,Single,4.0,23.0,Mailed Check,No,3
156,15898,53,Yes,92.71,40,Salary,192836.8,263,Manufacturing,Male,Single,6.0,22.0,Direct Deposit,Yes,14
3261,15901,51,No,38.6,40,Salary,80288.0,160,Manufacturing,Male,Divorced,15.5,7.0,Direct Deposit,No,13
12179,15903,39,Yes,45.79,40,Salary,95243.2,294,HumanResources,Prefer Not to Answer,Single,6.0,19.0,Direct Deposit,No,6
2970,15908,34,No,61.91,40,Salary,128772.79999999999,265,Information_Technology,Prefer Not to Answer,Married,3.0,9.0,Mailed Check,Yes,0
12219,15910,45,Yes,84.04,40,Salary,174803.2,111,Research,Prefer Not to Answer,Divorced,7.0,25.0,Direct Deposit,Yes,9
5622,15912,59,Yes,37.43,40,Salary,77854.40000000001,326,Information Technology,Female,Married,6.0,20.0,Mailed Check,No,13
3355,15913,60,Yes,21.29,40,Salary,44283.2,57,Manufacturing,Female,Divorced,9.0,11.0,Direct Deposit,Yes,37
4475,15918,62,No,29.43,40,Salary,61214.4,264,Human_Resources,Male,Single,5.0,13.0,Direct Deposit,No,37
2570,15919,50,No,45.42,40,Salary,94473.6,194,Marketing,Prefer Not to Answer,Single,4.0,11.0,Mailed Check,No,15
2721,15932,57,Yes,97.66,40,Salary,203132.8,226,Healthcare,Female,Single,4.0,18.0,Direct Deposit,No,9
760,15937,62,No,54.38,40,Salary,113110.40000000001,368,Human Resources,Prefer Not to Answer,Divorced,7.0,20.0,Mailed Check,Yes,25
4997,15940,36,No,23.21,40,Salary,48276.8,25,Healthcare,Female,Single,4.0,1.0,Mailed Check,No,2
5195,15951,58,Yes,97.12,40,Salary,202009.6,443,Information Technology,Female,Divorced,5.0,17.0,Mailed Check,Yes,22
1475,15958,21,Yes,59.71,40,Salary,124196.8,227,Laboratory,Male,Divorced,4.0,7.0,Direct Deposit,Yes,0
12203,15961,22,No,42.71,40,Salary,88836.8,448,Sales,Male,Divorced,3.0,3.0,Mailed Check,Yes,0
2959,15963,58,No,85.56,40,Salary,177964.80000000002,121,Laboratory,Female,Divorced,5.0,25.0,Mailed Check,No,9
356,15966,36,No,39.49,40,Salary,82139.20000000001,190,Manufacturing,Female,Married,6.0,17.0,Mailed Check,Yes,0
2508,15969,51,Yes,72.53,40,Salary,150862.4,263,Information Technology,Prefer Not to Answer,Divorced,7.0,12.0,Direct Deposit,No,32
3683,15970,37,No,64.89,40,Salary,134971.19999999998,388,Research,Prefer Not to Answer,Divorced,15.5,22.0,Mailed Check,No,0
12775,15974,33,No,55.93,40,Salary,116334.4,489,Human_Resources,Prefer Not to Answer,Married,4.0,20.0,Direct Deposit,No,9
4696,15981,40,No,88.97,40,Salary,185057.6,389,Marketing,Prefer Not to Answer,Single,7.0,8.0,Mailed Check,No,22
1666,15984,47,Yes,89.03,40,Salary,185182.4,252,Research,Prefer Not to Answer,Single,6.0,25.0,Mailed Check,No,28
12337,15985,43,No,96.45,40,Salary,200616.0,373,Research,Male,Divorced,8.0,23.0,Mailed Check,No,22
5069,15986,33,No,57.64,40,Salary,119891.2,426,Human Resources,Prefer Not to Answer,Divorced,2.0,20.0,Direct Deposit,Yes,11
166,15990,64,No,34.47,40,Salary,71697.59999999999,156,HumanResources,Female,Divorced,9.0,16.0,Direct Deposit,Yes,37
1857,15992,23,No,80.0,40,Salary,166400.0,262,Healthcare,Male,Married,9.0,6.0,Mailed Check,No,0
1452,15993,35,No,80.69,40,Salary,167835.19999999998,231,Information Technology,Female,Single,1.0,12.0,Mailed Check,No,10
2276,15995,18,No,99.08,40,Salary,206086.4,451,Information_Technology,Prefer Not to Answer,Single,8.0,20.0,Mailed Check,No,0
5389,16006,52,Yes,49.4,40,Salary,102752.0,76,Manufacturing,Prefer Not to Answer,Single,1.0,24.0,Mailed Check,Yes,26
2992,16011,60,No,90.33,40,Salary,187886.4,342,Marketing,Prefer Not to Answer,Divorced,8.0,18.0,Direct Deposit,Yes,5
12717,16013,55,No,47.01,40,Salary,97780.79999999999,89,Marketing,Female,Married,6.0,2.0,Mailed Check,Yes,35
3051,16015,40,Yes,98.47,40,Salary,204817.6,466,Laboratory,Male,Single,9.0,6.0,Mailed Check,No,15
4629,16018,24,Yes,26.45,40,Salary,55016.0,372,Research,Prefer Not to Answer,Divorced,8.0,23.0,Direct Deposit,No,0
779,16020,43,Yes,23.99,40,Salary,49899.2,454,Information_Technology,Female,Divorced,2.0,22.0,Mailed Check,No,4
4400,16025,34,No,87.64,40,Salary,182291.19999999998,42,Sales,Female,Single,15.5,12.0,Mailed Check,No,12
587,16039,59,No,90.73,40,Salary,188718.40000000002,258,HumanResources,Male,Single,15.5,9.0,Direct Deposit,No,37
237,16047,19,Yes,75.46,40,Salary,156956.8,472,Information Technology,Female,Married,5.0,8.0,Direct Deposit,Yes,11
2988,16049,38,Yes,27.86,40,Salary,57948.8,277,Research,Prefer Not to Answer,Divorced,9.0,13.0,Mailed Check,Yes,14
5892,16050,33,Yes,62.13,40,Salary,129230.40000000001,315,Marketing,Prefer Not to Answer,Single,4.0,8.0,Mailed Check,No,0
4277,16053,63,No,21.57,40,Salary,44865.6,169,Information Technology,Prefer Not to Answer,Married,9.0,22.0,Mailed Check,Yes,35
1855,16054,44,No,25.4,40,Salary,52832.0,85,InformationTechnology,Prefer Not to Answer,Single,15.5,19.0,Direct Deposit,Yes,3
4046,16055,38,Yes,50.81,40,Salary,105684.8,479,Information Technology,Female,Single,1.0,20.0,Direct Deposit,Yes,0
2835,16056,45,No,52.85,40,Salary,109928.0,206,Information_Technology,Female,Divorced,2.0,12.0,Direct Deposit,No,2
738,16058,19,Yes,39.91,40,Salary,83012.79999999999,466,Manufacturing,Prefer Not to Answer,Married,6.0,7.0,Mailed Check,No,17
5545,16059,54,Yes,56.39,40,Salary,117291.2,268,Research,Prefer Not to Answer,Divorced,7.0,7.0,Mailed Check,No,35
12656,16062,24,No,83.21,40,Salary,173076.8,369,Marketing,Female,Divorced,1.0,12.0,Mailed Check,No,12
4679,16067,51,Yes,74.01,40,Salary,153940.80000000002,425,Research,Male,Single,4.0,24.0,Direct Deposit,No,19
324,16069,27,Yes,19.33,40,Salary,40206.399999999994,463,Marketing,Male,Divorced,9.0,7.0,Direct Deposit,No,0
12054,16070,56,Yes,26.51,40,Salary,55140.8,46,Laboratory,Prefer Not to Answer,Single,7.0,22.0,Mailed Check,No,32
837,16071,58,No,88.07,40,Salary,183185.59999999998,107,HumanResources,Prefer Not to Answer,Married,15.5,16.0,Mailed Check,Yes,15
2469,16074,26,No,93.12,40,Salary,193689.6,36,Laboratory,Female,Single,5.0,18.0,Mailed Check,Yes,6
5029,16075,24,Yes,77.21,40,Salary,160596.8,377,Healthcare,Female,Married,4.0,22.0,Mailed Check,No,2
4362,16076,60,No,94.91,40,Salary,197412.8,200,Manufacturing,Male,Single,4.0,17.0,Direct Deposit,Yes,14
3470,16078,65,Yes,44.62,40,Salary,92809.59999999999,23,InformationTechnology,Prefer Not to Answer,Single,1.0,1.0,Direct Deposit,No,37
2815,16079,63,Yes,74.08,40,Salary,154086.4,411,Laboratory,Female,Married,3.0,17.0,Mailed Check,No,17
1919,16087,19,No,63.37,40,Salary,131809.59999999998,328,HumanResources,Male,Single,6.0,9.0,Direct Deposit,No,0
1219,16091,21,No,84.1,40,Salary,174928.0,80,Laboratory,Female,Married,2.0,8.0,Direct Deposit,No,0
3151,16092,28,Yes,99.2,40,Salary,206336.0,286,InformationTechnology,Male,Single,9.0,21.0,Mailed Check,Yes,10
5081,16094,40,Yes,38.0,40,Salary,79040.0,156,Healthcare,Prefer Not to Answer,Single,6.0,23.0,Mailed Check,No,8
4855,16096,38,Yes,35.63,40,Salary,74110.40000000001,499,Information_Technology,Female,Divorced,2.0,11.0,Mailed Check,Yes,17
2556,16099,32,No,45.24,40,Salary,94099.20000000001,382,Sales,Prefer Not to Answer,Single,9.0,14.0,Direct Deposit,No,0
12256,16103,64,No,45.54,40,Salary,94723.2,321,Manufacturing,Male,Divorced,1.0,10.0,Mailed Check,No,15
13173,16104,49,Yes,87.54,40,Salary,182083.2,142,Human_Resources,Female,Single,9.0,1.0,Mailed Check,No,9
5686,16105,57,No,91.29,40,Salary,189883.2,365,Sales,Male,Married,1.0,24.0,Mailed Check,No,4
3727,16112,24,Yes,93.6,40,Salary,194688.0,116,Laboratory,Female,Single,15.5,22.0,Mailed Check,No,9
451,16113,28,No,22.87,40,Salary,47569.600000000006,351,Sales,Male,Single,7.0,11.0,Mailed Check,No,7
5368,16114,28,No,25.73,40,Salary,53518.4,417,Information_Technology,Male,Single,3.0,16.0,Mailed Check,Yes,6
5345,16115,61,No,51.7,40,Salary,107536.0,167,Manufacturing,Female,Married,9.0,13.0,Mailed Check,Yes,16
5492,16116,58,Yes,42.69,40,Salary,88795.2,321,InformationTechnology,Male,Divorced,3.0,20.0,Mailed Check,Yes,28
1140,16120,31,No,97.9,40,Salary,203632.0,456,Human_Resources,Male,Single,3.0,6.0,Mailed Check,No,10
3035,16122,63,No,18.88,40,Salary,39270.399999999994,308,Marketing,Prefer Not to Answer,Married,6.0,10.0,Mailed Check,No,2
152,16123,27,No,46.1,40,Salary,95888.0,76,Human_Resources,Male,Single,2.0,14.0,Mailed Check,No,11
4544,16134,45,Yes,56.32,40,Salary,117145.6,477,InformationTechnology,Prefer Not to Answer,Married,9.0,14.0,Mailed Check,No,4
2664,16135,44,Yes,65.61,40,Salary,136468.80000000002,40,Research,Prefer Not to Answer,Divorced,5.0,4.0,Direct Deposit,No,4
12715,16139,21,No,97.55,40,Salary,202904.0,65,Human_Resources,Male,Divorced,15.5,6.0,Mailed Check,No,16
413,16141,19,Yes,66.18,40,Salary,137654.40000000002,281,InformationTechnology,Prefer Not to Answer,Married,7.0,12.0,Mailed Check,Yes,11
3458,16144,21,No,53.24,40,Salary,110739.2,267,Sales,Male,Single,1.0,12.0,Mailed Check,No,2
1646,16146,23,No,47.08,40,Salary,97926.4,317,InformationTechnology,Prefer Not to Answer,Divorced,8.0,15.0,Direct Deposit,No,0
4335,16150,33,Yes,80.52,40,Salary,167481.59999999998,487,Healthcare,Prefer Not to Answer,Single,15.5,23.0,Direct Deposit,Yes,0
3177,16152,52,No,55.09,40,Salary,114587.20000000001,394,Manufacturing,Male,Divorced,7.0,17.0,Mailed Check,Yes,9
3878,16161,45,No,34.25,40,Salary,71240.0,466,Information Technology,Female,Divorced,3.0,21.0,Direct Deposit,Yes,16
1446,16163,53,Yes,54.63,40,Salary,113630.40000000001,485,Research,Male,Married,1.0,15.0,Direct Deposit,No,7
326,16170,41,No,23.39,40,Salary,48651.200000000004,210,Manufacturing,Female,Married,5.0,15.0,Mailed Check,Yes,9
2200,16171,35,No,40.75,40,Salary,84760.0,83,Information_Technology,Male,Single,5.0,22.0,Direct Deposit,Yes,0
3707,16173,53,Yes,26.23,40,Salary,54558.4,84,Laboratory,Female,Divorced,9.0,11.0,Direct Deposit,No,24
962,16177,62,No,54.66,40,Salary,113692.79999999999,449,Marketing,Male,Married,9.0,17.0,Mailed Check,No,3
13192,16181,52,Yes,28.5,40,Salary,59280.0,366,Human_Resources,Female,Single,4.0,11.0,Direct Deposit,No,10
13125,16191,33,Yes,73.59,40,Salary,153067.2,444,Human_Resources,Female,Divorced,8.0,39.5,Direct Deposit,No,0
1923,16193,34,No,83.36,40,Salary,173388.80000000002,314,Information Technology,Male,Married,1.0,25.0,Direct Deposit,No,0
319,16197,60,No,91.73,40,Salary,190798.40000000002,376,Information_Technology,Male,Divorced,5.0,5.0,Direct Deposit,No,27
2121,16198,60,Yes,68.37,40,Salary,142209.6,318,Human_Resources,Prefer Not to Answer,Divorced,2.0,7.0,Direct Deposit,No,9
1920,16200,58,Yes,32.51,40,Salary,67620.79999999999,392,Research,Male,Single,9.0,24.0,Mailed Check,No,30
771,16202,31,No,33.95,40,Salary,70616.0,486,Human_Resources,Prefer Not to Answer,Single,4.0,11.0,Direct Deposit,No,0
3693,16207,63,Yes,84.86,40,Salary,176508.80000000002,19,Human Resources,Prefer Not to Answer,Married,9.0,1.0,Direct Deposit,Yes,24
2659,16211,28,No,75.61,40,Salary,157268.80000000002,316,Research,Male,Married,6.0,25.0,Mailed Check,Yes,3
4380,16216,21,Yes,37.41,40,Salary,77812.79999999999,74,Sales,Female,Divorced,4.0,10.0,Direct Deposit,No,15
4147,16219,24,No,18.87,40,Salary,39249.600000000006,192,HumanResources,Prefer Not to Answer,Single,5.0,19.0,Mailed Check,No,4
2239,16221,36,No,92.57,40,Salary,192545.59999999998,212,Information_Technology,Prefer Not to Answer,Single,3.0,6.0,Direct Deposit,No,15
2315,16223,61,No,80.6,40,Salary,167648.0,15,Healthcare,Male,Married,9.0,11.0,Mailed Check,No,17
3309,16225,59,Yes,59.46,40,Salary,123676.8,68,Marketing,Prefer Not to Answer,Married,2.0,5.0,Direct Deposit,Yes,9
239,16226,39,Yes,31.77,40,Salary,66081.59999999999,115,HumanResources,Female,Single,9.0,19.0,Mailed Check,No,0
2724,16227,53,Yes,96.88,40,Salary,201510.4,267,Sales,Prefer Not to Answer,Divorced,3.0,12.0,Mailed Check,No,14
4386,16228,29,No,48.84,40,Salary,101587.20000000001,498,HumanResources,Male,Single,5.0,13.0,Mailed Check,Yes,9
1761,16229,40,No,98.47,40,Salary,204817.6,125,Healthcare,Male,Married,15.5,8.0,Mailed Check,No,15
2144,16233,53,No,87.9,40,Salary,182832.0,71,Human_Resources,Male,Divorced,6.0,10.0,Direct Deposit,No,21
12400,16238,34,No,44.01,40,Salary,91540.79999999999,275,Research,Female,Married,5.0,22.0,Mailed Check,No,2
12412,16239,62,Yes,91.58,40,Salary,190486.4,355,Sales,Female,Single,5.0,25.0,Mailed Check,No,34
12260,16246,34,Yes,28.29,40,Salary,58843.2,115,Laboratory,Prefer Not to Answer,Divorced,15.5,11.0,Mailed Check,No,0
1795,16247,37,No,34.01,40,Salary,70740.79999999999,352,InformationTechnology,Male,Married,9.0,8.0,Direct Deposit,Yes,18
3460,16248,62,Yes,97.99,40,Salary,203819.19999999998,18,Laboratory,Prefer Not to Answer,Single,15.5,7.0,Direct Deposit,No,16
263,16249,23,Yes,74.99,40,Salary,155979.19999999998,295,Sales,Prefer Not to Answer,Married,6.0,39.5,Mailed Check,No,0
13175,16251,48,Yes,71.0,40,Salary,147680.0,249,Healthcare,Male,Married,8.0,21.0,Mailed Check,Yes,13
2244,16253,23,No,64.18,40,Salary,133494.40000000002,179,Research,Prefer Not to Answer,Divorced,3.0,1.0,Direct Deposit,Yes,9
