,SquareFootage_capped,BackyardSpace_capped,CrimeRate_capped,AgeOfHome_capped,DistanceToCityCenter_capped,EmploymentRate_capped,PropertyTaxRate_capped,SchoolRating_Encoded,Fireplace_Encoded,Garage_Encoded
5369,1762.0,462.0,26.2,56.0,17.5,95.0,1.13,2.0,0,1
5403,1370.0,581.0,36.9,74.5,14.5,98.5,0.84,2.0,0,1
6157,885.0,217.0,70.7,1.0,15.8,93.6,1.94,2.0,0,0
6410,1790.0,200.0,20.5,67.0,2.8,95.1,1.12,2.0,0,0
528,1387.0,386.0,73.6625,1.0,6.5,87.5,1.32,2.0,0,1
1808,886.0,568.0,56.1,14.0,7.3,99.0,1.09,2.0,0,1
7749,1646.0,896.0,8.5,10.0,11.2,87.3,1.57,2.0,1,0
2055,700.0,200.0,46.8,7.0,10.0,90.9,1.73,2.0,0,1
1231,2440.0,1029.0,9.2,31.0,0.5,94.6,1.19,2.0,0,1
2028,1897.0,862.0,9.8,31.0,14.1,95.0,1.27,2.0,0,1
5493,1746.0,645.0,41.8,36.0,13.1,89.4,1.38,2.0,0,1
677,1446.0,885.0,10.7,9.0,9.4,91.2,1.52,2.0,0,1
7095,2748.0,992.0,8.9,30.0,0.5,89.0,1.36,2.0,0,0
6593,2408.0,1232.0,57.0,26.0,23.55,90.4,1.58,1.0,0,0
6416,847.0,200.0,23.3,18.0,5.1,94.9,1.82,2.0,0,0
8406,1536.0,200.0,9.8,21.0,10.2,92.3,1.41,2.0,1,0
7440,2541.0,598.0,34.2,47.0,11.2,91.9,1.71,2.0,1,0
2741,2179.0,792.0,35.9,74.5,3.7,96.0,1.62,2.0,0,1
4091,1811.0,557.0,19.1,21.0,8.8,89.7,1.5,2.0,1,1
4011,2680.0,653.0,42.6,54.0,12.5,92.4,1.53,2.0,1,1
8805,1897.0,705.0,22.0,19.0,9.4,95.9,1.8,2.0,1,0
2432,2123.0,565.0,12.6,23.0,18.4,91.8,1.26,2.0,0,1
5092,1345.0,200.0,13.6,26.0,2.9,91.4,1.28,2.0,0,1
5388,1381.0,402.0,50.7,18.0,7.4,90.7,1.47,2.0,0,1
551,1086.0,569.0,52.7,16.0,6.8,95.4,1.98,2.0,0,1
5022,1167.0,220.0,33.4,13.0,1.9,88.4,1.18,2.0,0,1
4042,712.0,750.0,51.6,20.0,8.1,85.7,1.29,2.0,1,1
3783,1568.0,438.0,31.6,74.5,2.6,92.5,1.84,2.0,1,1
1611,1225.0,342.0,28.6,32.0,9.3,95.8,1.54,2.0,0,1
4421,2244.0,885.0,47.7,14.0,0.5,90.5,1.55,2.0,1,1
5211,2341.0,1722.0,22.3,55.0,9.5,92.7,1.83,2.0,0,1
8245,2406.0,723.0,23.4,42.0,2.6,94.7,1.26,2.0,1,0
3794,1124.0,757.0,12.7,10.0,6.6,93.2,1.83,2.0,1,1
673,1084.0,291.0,21.2,18.0,12.3,99.0,1.41,2.0,0,1
7178,2376.0,827.0,23.8,44.0,2.1,90.0,1.3,2.0,0,0
4881,2119.0,352.0,10.2,5.0,14.8,94.6,0.61,2.0,0,1
7020,1383.0,253.0,14.9,27.0,5.2,86.9,0.76,2.0,0,0
5071,1755.0,734.0,13.7,4.0,5.5,96.4,0.85,2.0,0,1
8514,1463.0,200.0,48.1,35.0,6.5,93.2,1.09,2.0,1,0
4588,2275.0,200.0,35.2,16.0,12.1,92.0,1.37,2.0,0,1
605,1460.0,236.0,73.6625,15.0,9.0,96.5,1.7,2.0,0,1
5729,1510.0,323.0,70.1,41.0,15.3,92.9,1.53,2.0,0,1
7051,2483.0,200.0,19.0,17.0,23.55,93.2,1.81,2.0,0,0
5778,1963.0,1039.0,18.1,15.0,11.0,94.5,1.69,2.0,0,1
1468,2312.0,200.0,46.9,28.0,20.2,91.5,1.31,2.0,0,1
7883,2581.0,580.0,11.5,51.0,0.5,90.2,1.92,2.0,1,0
1982,2018.0,397.0,25.0,13.0,6.3,89.6,1.73,2.0,0,1
4785,2786.0,637.0,26.3,37.0,23.55,99.0,1.23,2.0,0,1
890,2695.0,1130.0,11.2,68.0,11.2,94.6,1.1,2.0,0,1
6832,2443.0,200.0,24.7,3.0,1.1,86.1,1.46,2.0,0,0
8015,1721.0,200.0,25.9,0.0,2.4,93.1,1.16,2.0,1,0
843,1293.0,230.0,27.0,65.0,15.4,94.3,1.32,2.0,0,1
2155,1301.0,480.0,47.6,9.0,18.3,93.3,1.63,2.0,0,1
4773,1632.0,501.0,38.3,18.0,0.5,90.2,1.55,2.0,0,1
8794,1442.0,388.0,61.4,4.0,14.4,84.3,1.45,2.0,1,0
2077,2479.0,335.0,20.9,15.0,9.6,89.0,1.2,2.0,0,1
5584,1319.0,651.0,29.4,66.0,17.1,87.3,0.98,2.0,0,1
5006,1450.0,278.0,28.7,48.0,14.5,90.1,1.54,2.0,0,1
5474,2536.0,986.0,15.1,22.0,8.6,90.6,1.36,2.0,0,1
3520,2666.0,830.0,22.1,49.0,2.2,92.9,1.86,2.0,1,1
4694,2959.0,836.0,60.3,56.0,18.6,91.2,0.92,2.0,0,1
2799,2369.0,848.0,8.5,41.0,13.3,99.0,1.19,2.0,1,1
5832,1456.0,442.0,36.7,12.0,12.1,95.9,1.15,2.0,0,1
584,937.0,237.0,30.9,50.0,20.3,96.4,1.45,2.0,0,1
3268,3566.625,1368.0,53.9,19.0,9.6,92.9,1.81,2.0,1,1
8388,2115.0,452.0,37.2,6.0,9.7,93.5,1.6,2.0,1,0
4002,1786.0,721.0,19.8,24.0,1.5,92.8,1.04,2.0,1,1
5436,853.0,602.0,29.0,13.0,0.5,94.7,2.12,2.0,0,1
4125,1241.0,488.0,47.3,1.0,2.0,92.3,0.86,2.0,1,1
5824,1390.0,917.0,46.1,11.0,1.1,97.3,1.34,2.0,0,1
8182,3177.0,1000.0,42.8,6.0,5.9,93.7,1.44,2.0,1,0
6261,1774.0,331.0,61.4,6.0,18.5,88.7,1.4,2.0,0,0
4162,1721.0,768.0,71.9,16.0,3.8,90.3,1.12,2.0,1,1
4535,2348.0,1243.0,16.1,19.0,15.6,94.2,1.38,2.0,0,1
6005,776.0,330.0,6.8,29.0,16.4,96.9,1.42,2.0,0,0
4586,3183.0,1154.0,25.0,10.0,23.55,93.2,0.93,2.0,0,1
4210,1514.0,200.0,19.1,19.0,6.8,91.1,1.44,2.0,1,1
8824,1728.0,1000.0,31.2,4.0,2.0,99.0,2.0,2.0,1,0
2550,2326.0,774.0,52.1,20.0,1.7,90.5,1.43,2.0,0,1
6907,1407.0,698.0,18.2,3.0,6.2,89.3,1.76,2.0,0,0
6312,915.0,326.0,66.5,19.0,9.1,92.4,1.16,2.0,0,0
344,2632.0,867.0,45.6,28.0,0.9,97.5,1.6,2.0,0,1
2185,1451.0,200.0,30.8,6.0,12.5,98.9,1.44,2.0,0,1
5165,1463.0,216.0,32.8,27.0,0.9,93.0,0.78,2.0,0,1
7012,1622.0,505.0,8.5,74.5,5.3,95.4,1.4,2.0,0,0
6425,1359.0,259.0,39.3,6.0,1.2,92.6,1.75,2.0,0,0
3838,1833.0,698.0,25.7,3.0,8.7,92.7,1.77,2.0,1,1
8703,1159.0,714.0,51.1,29.0,1.9,91.9,0.99,2.0,1,0
871,1421.0,1054.0,15.0,36.0,2.5,93.1,1.29,2.0,0,1
4463,1710.0,200.0,14.1,19.0,1.6,92.1,1.13,2.0,1,1
8476,3566.625,1148.0,15.2,12.0,3.9,85.4,0.97,2.0,1,0
5889,1887.0,662.0,33.2,13.0,7.5,88.7,1.08,2.0,0,1
8692,1908.0,792.0,29.3,5.0,2.8,90.4,1.19,2.0,1,0
90,1960.0,713.0,15.6,4.0,12.6,91.1,0.58,2.0,0,1
8398,2461.0,1238.0,36.5,57.0,5.4,93.0,1.37,2.0,1,0
5171,1443.0,535.0,3.4,8.0,0.9,98.2,1.59,2.0,0,1
6076,1453.0,240.0,50.8,26.0,1.8,92.2,1.48,2.0,0,0
6143,2165.0,1337.0,22.2,74.5,3.7,96.8,0.79,2.0,0,0
7884,2367.0,607.0,13.5,15.0,8.3,94.3,1.69,2.0,1,0
8165,1332.0,367.0,41.5,14.0,6.9,94.9,1.38,2.0,1,0
6355,1301.0,595.0,25.7,57.0,5.9,92.3,1.56,2.0,0,0
2117,1445.0,200.0,45.4,23.0,3.1,90.4,1.03,2.0,0,1
2937,1972.0,226.0,20.2,44.0,7.4,94.7,1.32,2.0,1,1
8310,1337.0,773.0,29.4,4.0,0.9,97.1,1.8,2.0,1,0
7436,1556.0,735.0,15.6,20.0,5.7,93.9,1.49,2.0,1,0
2836,2734.0,849.0,20.6,74.5,14.8,93.7,1.24,2.0,1,1
3096,2711.0,873.0,38.7,65.0,4.2,90.1,1.13,2.0,1,1
5605,1817.0,763.0,34.2,16.0,23.55,94.4,1.05,2.0,0,1
5647,1619.0,838.0,57.9,58.0,3.3,95.9,1.4,2.0,0,1
947,2169.0,617.0,24.9,9.0,18.5,94.4,1.4,2.0,0,1
2925,2303.0,696.0,7.9,4.0,4.0,94.2,1.3,2.0,1,1
4338,1996.0,528.0,36.7,52.0,2.2,92.3,1.29,2.0,1,1
3214,1028.0,200.0,12.8,5.0,4.7,93.6,1.11,2.0,1,1
7865,1960.0,445.0,28.5,20.0,16.0,88.0,1.62,2.0,1,0
6144,926.0,401.0,23.0,3.0,15.4,98.5,1.74,2.0,0,0
883,1731.0,329.0,11.5,23.0,2.4,97.3,1.36,2.0,0,1
7627,3566.625,1535.0,46.0,9.0,0.7,92.7,1.19,2.0,1,0
5670,2302.0,971.0,33.8,31.0,11.8,92.5,1.88,2.0,0,1
7256,1344.0,702.0,50.8,33.0,23.55,91.0,1.67,2.0,1,0
5677,1244.0,424.0,20.8,65.0,0.5,92.8,1.82,2.0,0,1
627,1661.0,879.0,23.0,18.0,0.5,94.3,1.72,2.0,0,1
1456,1271.0,560.0,28.0,5.0,0.7,94.8,1.64,2.0,0,1
8600,2902.0,1325.0,36.9,15.0,0.6,88.8,1.79,2.0,1,0
7231,1926.0,959.0,52.7,22.0,23.55,98.1,1.0,1.0,1,0
6555,2120.0,493.0,40.6,10.0,6.0,98.0,1.46,2.0,0,0
7774,2560.0,997.0,29.2,11.0,12.5,89.3,1.0,2.0,1,0
5838,1984.0,1538.0,19.2,16.0,6.8,94.0,1.1,2.0,0,1
6537,1272.0,200.0,30.0,3.0,8.4,92.3,1.31,2.0,0,0
8631,1325.0,466.0,18.1,1.0,0.5,91.9,1.3,2.0,1,0
7017,1439.0,344.0,41.3,21.0,1.4,94.3,1.75,2.0,0,0
6874,1955.0,200.0,10.5,45.0,3.7,91.2,1.79,1.0,0,0
2415,1855.0,776.0,32.8,68.0,13.6,90.7,1.51,2.0,0,1
5927,1505.0,200.0,38.8,4.0,23.55,97.7,1.66,2.0,0,1
7423,1302.0,240.0,16.1,1.0,12.8,94.7,1.54,2.0,1,0
4466,1631.0,445.0,20.1,49.0,2.0,96.7,1.09,2.0,1,1
5489,1482.0,291.0,13.5,10.0,23.55,92.8,1.63,2.0,0,1
6590,1522.0,200.0,33.1,3.0,16.4,94.4,0.76,2.0,0,0
8317,2517.0,823.0,24.0,33.0,2.2,97.1,1.9,2.0,1,0
2899,1613.0,244.0,28.4,61.0,23.1,88.4,1.63,2.0,1,1
433,1751.0,987.0,40.5,29.0,3.6,93.9,1.35,2.0,0,1
2398,1381.0,200.0,26.4,4.0,20.4,94.7,1.59,2.0,0,1
2209,1659.0,527.0,28.0,11.0,2.7,91.2,1.59,2.0,0,1
1710,969.0,1015.0,40.0,2.0,8.3,97.9,1.29,1.0,0,1
3353,1925.0,420.0,39.4,3.0,2.3,86.2,1.77,2.0,1,1
8470,984.0,200.0,14.9,10.0,13.3,89.8,1.18,2.0,1,0
104,1497.0,200.0,38.9,2.0,3.2,86.6,1.35,2.0,0,1
5756,2312.0,627.0,23.9,22.0,5.9,89.0,1.09,1.0,0,1
1186,1252.0,682.0,23.7,28.0,1.7,90.5,2.05,1.0,0,1
7839,2733.0,1139.0,15.8,0.0,7.9,93.0,1.25,2.0,1,0
3184,1971.0,1109.0,20.8,21.0,5.8,91.9,1.5,2.0,1,1
8811,2357.0,749.0,16.2,24.0,1.5,91.3,0.98,2.0,1,0
6397,1372.0,487.0,59.1,48.0,0.7,92.7,1.07,2.0,0,0
7046,1925.0,722.0,47.9,47.0,7.2,89.2,1.65,2.0,0,0
8416,2491.0,897.0,30.0,5.0,9.0,92.7,1.5,2.0,1,0
8897,3223.0,1327.0,36.9,2.0,0.5,94.1,1.43,2.0,1,0
151,1553.0,426.0,5.9,7.0,13.6,88.0,1.28,2.0,0,1
3282,2300.0,1224.0,35.8,4.0,2.1,96.3,1.0,2.0,1,1
6169,2114.0,1112.0,13.5,40.0,0.5,92.2,1.53,2.0,0,0
5013,2993.0,1609.0,35.5,19.0,4.0,93.3,1.48,2.0,0,1
915,1145.0,422.0,24.9,18.0,2.2,90.8,1.3,2.0,0,1
1305,1810.0,1206.0,38.7,38.0,1.0,83.8,2.14,2.0,0,1
4397,2167.0,1165.0,14.2,44.0,18.0,92.0,1.13,2.0,1,1
3049,2817.0,1066.0,10.4,5.0,14.3,97.2,1.27,2.0,1,1
8449,2404.0,1191.0,32.2,11.0,7.7,98.5,1.28,2.0,1,0
8106,2871.0,690.0,21.6,21.0,4.3,90.0,1.39,2.0,1,0
8566,2245.0,1036.0,8.3,39.0,9.9,94.9,1.07,2.0,1,0
7031,1710.0,629.0,42.8,38.0,8.1,90.1,1.22,2.0,0,0
5763,1715.0,1353.0,6.7,1.0,6.9,96.6,1.52,1.0,0,1
5153,2011.0,881.0,8.5,6.0,8.9,99.0,1.69,2.0,0,1
3921,2058.0,1424.0,7.5,36.0,4.5,92.6,1.79,2.0,1,1
6473,1943.0,900.0,27.6,34.0,10.5,90.0,1.47,2.0,0,0
2796,2251.0,598.0,20.9,13.0,0.5,90.5,1.41,2.0,1,1
2701,1644.0,200.0,44.7,4.0,4.5,91.1,1.83,2.0,0,1
1398,2064.0,617.0,23.7,6.0,23.55,94.3,1.27,2.0,0,1
2519,1540.0,1069.0,54.0,21.0,12.6,96.8,1.74,1.0,0,1
3358,1479.0,316.0,48.5,8.0,1.2,90.7,1.89,2.0,1,1
8273,1541.0,1070.0,32.7,69.0,0.5,95.1,1.36,2.0,1,0
183,1579.0,200.0,6.7,14.0,0.7,97.2,1.15,2.0,0,1
4043,2268.0,1112.0,55.4,22.0,23.55,94.3,1.65,2.0,1,1
366,1541.0,200.0,16.0,33.0,23.55,99.0,1.42,2.0,0,1
8928,2568.0,1028.0,10.1,9.0,16.4,90.2,1.28,2.0,1,0
6086,3566.625,954.0,30.8,15.0,12.2,90.5,1.07,2.0,0,0
8652,2958.0,1452.0,19.0,74.5,8.3,94.9,1.35,2.0,1,0
6113,1734.0,589.0,26.4,3.0,9.0,95.3,1.51,2.0,0,0
2417,1592.0,424.0,11.1,18.0,3.8,86.7,1.86,2.0,0,1
471,1927.0,1146.0,12.7,43.0,4.6,95.0,1.83,2.0,0,1
967,1369.0,725.0,2.5,19.0,0.5,86.7,1.39,2.0,0,1
6545,934.0,1096.0,23.4,6.0,0.5,95.3,1.1,2.0,0,0
6460,1538.0,1200.0,15.7,1.0,3.9,90.7,1.43,2.0,0,0
2656,1386.0,699.0,56.1,9.0,9.0,93.5,0.95,2.0,0,1
6778,1701.0,249.0,62.6,8.0,2.6,93.1,1.24,2.0,0,0
209,1006.0,200.0,43.4,30.0,5.2,92.9,1.04,2.0,0,1
1961,1440.0,930.0,8.3,49.0,23.55,94.8,1.29,2.0,0,1
896,2721.0,1131.0,21.7,2.0,8.1,99.0,1.99,2.0,0,1
8613,2066.0,291.0,39.4,39.0,23.4,97.1,1.79,2.0,1,0
3819,1893.0,369.0,9.9,0.0,3.0,90.8,1.5,2.0,1,1
8568,2372.0,1081.0,45.7,39.0,17.7,95.1,1.1,2.0,1,0
1773,862.0,750.0,73.6625,74.5,10.7,92.0,1.97,2.0,0,1
5146,2458.0,1243.0,24.0,6.0,12.8,89.2,0.77,2.0,0,1
2299,1368.0,411.0,15.9,36.0,0.6,96.1,2.21,2.0,0,1
1209,2649.0,856.0,29.1,74.5,5.2,91.0,1.99,2.0,0,1
6798,1829.0,664.0,7.8,74.5,14.6,86.8,1.49,2.0,0,0
5579,2299.0,200.0,35.7,16.0,1.0,95.9,1.49,2.0,0,1
8974,1122.0,371.0,43.4,7.0,12.0,93.5,1.46,2.0,1,0
1270,1990.0,837.0,21.9,43.0,2.1,94.2,1.06,2.0,0,1
1251,1153.0,436.0,14.5,10.0,15.9,90.4,0.81,2.0,0,1
3176,1275.0,1033.0,33.4,34.0,1.2,89.8,1.53,2.0,1,1
7620,2223.0,465.0,26.2,14.0,2.5,94.9,1.0,2.0,1,0
8535,956.0,859.0,31.6,52.0,0.8,96.3,1.27,2.0,1,0
8390,1511.0,584.0,27.0,5.0,0.6,97.0,1.35,2.0,1,0
3973,1314.0,200.0,26.8,74.5,5.5,91.0,1.98,2.0,1,1
1292,1932.0,1473.0,39.7,66.0,9.6,90.9,1.71,2.0,0,1
6688,1465.0,550.0,38.0,7.0,9.9,96.3,1.35,2.0,0,0
5264,1199.0,592.0,47.9,8.0,0.5,95.7,1.46,2.0,0,1
3370,1119.0,312.0,15.0,30.0,10.3,99.0,1.1,2.0,1,1
5990,924.0,416.0,14.7,74.5,3.5,93.0,1.46,1.0,0,1
4663,1446.0,200.0,7.7,67.0,1.2,92.6,1.34,2.0,0,1
5190,1996.0,908.0,27.5,74.5,7.7,86.6,1.06,2.0,0,1
3651,1871.0,707.0,20.7,15.0,3.2,98.6,1.3,2.0,1,1
3315,2821.0,806.0,18.2,10.0,13.9,91.3,1.16,2.0,1,1
4078,1438.0,200.0,23.7,5.0,7.6,97.0,1.27,2.0,1,1
292,2481.0,728.0,28.8,32.0,4.5,91.6,1.25,2.0,0,1
6121,1547.0,457.0,25.1,40.0,0.7,90.7,1.29,2.0,0,0
8140,3566.625,1801.5,48.1,33.0,6.2,91.6,1.9,2.0,1,0
1051,2026.0,411.0,10.1,58.0,5.4,89.2,1.02,2.0,0,1
4782,1549.0,617.0,11.2,35.0,2.2,93.6,1.94,2.0,0,1
4848,1368.0,606.0,33.8,6.0,0.5,89.8,1.34,2.0,0,1
7213,2094.0,1015.0,37.2,4.0,0.5,90.7,1.45,2.0,0,0
272,3566.625,1356.0,45.2,31.0,0.5,95.9,1.08,2.0,0,1
2042,1154.0,239.0,54.6,17.0,0.7,96.7,1.68,2.0,0,1
5184,3308.0,1058.0,32.5,13.0,3.5,92.0,1.33,2.0,0,1
3918,2636.0,787.0,10.4,3.0,6.8,98.6,1.6,2.0,1,1
4185,1695.0,301.0,18.6,74.5,0.5,90.7,1.13,2.0,1,1
103,1459.0,200.0,3.1,5.0,6.2,96.1,1.25,2.0,0,1
1086,1244.0,634.0,16.3,12.0,6.9,92.4,1.25,2.0,0,1
4664,2158.0,956.0,11.6,64.0,0.5,96.1,1.53,2.0,0,1
7807,1864.0,333.0,25.7,74.5,10.2,93.6,0.83,2.0,1,0
5117,2170.0,937.0,20.6,54.0,6.5,94.7,0.5,2.0,0,1
4691,1670.0,200.0,40.8,18.0,12.7,93.0,1.14,2.0,0,1
2903,2186.0,545.0,55.3,2.0,4.1,87.2,1.46,1.0,1,1
5381,2449.0,744.0,41.7,18.0,19.1,85.3,1.48,2.0,0,1
7019,1867.0,877.0,19.0,11.0,23.55,98.4,1.66,1.0,0,0
4046,1730.0,346.0,28.3,57.0,0.5,94.4,1.43,2.0,1,1
5595,1116.0,415.0,12.2,47.0,9.6,94.1,1.5,1.0,0,1
6781,1309.0,200.0,26.7,11.0,8.4,90.9,1.39,2.0,0,0
6605,1790.0,1219.0,40.5,23.0,7.7,97.2,1.11,2.0,0,0
6810,700.0,459.0,12.1,33.0,22.4,90.2,1.35,2.0,0,0
4447,2092.0,800.0,50.1,5.0,1.6,94.8,0.73,2.0,1,1
4122,3566.625,1801.5,49.4,32.0,6.5,92.3,1.48,2.0,1,1
6291,1201.0,1006.0,30.6,5.0,2.6,91.2,0.75,2.0,0,0
613,2086.0,427.0,22.0,1.0,8.0,93.0,1.86,2.0,0,1
8885,2295.0,1021.0,34.8,32.0,13.5,91.3,1.49,2.0,1,0
5332,854.0,315.0,34.2,52.0,3.5,91.4,1.29,2.0,0,1
4706,1943.0,1019.0,12.8,21.0,2.0,86.0,1.66,2.0,0,1
5589,1921.0,762.0,28.5,74.5,6.2,91.9,1.72,2.0,0,1
3478,1617.0,950.0,35.8,60.0,21.1,89.0,1.04,2.0,1,1
5730,3080.0,814.0,13.1,2.0,0.8,89.0,1.58,2.0,0,1
1748,2356.0,1241.0,32.2,11.0,0.9,96.8,1.77,2.0,0,1
732,1609.0,1112.0,20.9,3.0,0.8,93.9,1.09,2.0,0,1
8240,1565.0,720.0,42.4,24.0,16.1,93.8,1.29,2.0,1,0
4478,1658.0,200.0,51.2,46.0,23.55,97.6,0.78,2.0,0,1
3872,1503.0,200.0,22.7,2.0,2.5,96.3,1.2,2.0,1,1
7702,1096.0,200.0,12.8,24.0,9.8,93.6,1.36,2.0,1,0
2910,1560.0,545.0,27.1,14.0,4.4,95.6,2.1,2.0,1,1
6198,1958.0,517.0,30.8,22.0,1.0,96.5,1.4,2.0,0,0
2662,1931.0,295.0,8.3,11.0,5.6,91.0,1.25,2.0,0,1
7238,1187.0,653.0,6.2,25.0,7.4,94.5,1.84,2.0,1,0
4692,1769.0,232.0,34.1,74.5,4.2,88.5,1.14,2.0,0,1
8578,1511.0,307.0,26.5,13.0,9.4,99.0,1.27,2.0,1,0
3113,1257.0,200.0,34.9,9.0,2.6,99.0,1.63,2.0,1,1
3303,2057.0,680.0,41.6,14.0,2.7,93.9,1.45,2.0,1,1
2154,1952.0,620.0,37.2,8.0,3.7,96.3,1.52,2.0,0,1
1344,1771.0,787.0,43.7,1.0,4.9,97.5,1.15,1.0,0,1
8844,2561.0,399.0,15.9,28.0,9.5,90.3,0.69,1.0,1,0
3261,1453.0,200.0,27.3,43.0,8.7,92.0,0.93,2.0,1,1
7355,2574.0,1409.0,52.4,8.0,13.6,88.7,1.68,2.0,1,0
3992,2712.0,956.0,26.0,5.0,2.4,92.2,1.04,2.0,1,1
5231,3060.0,888.0,25.5,4.0,1.1,96.2,1.35,1.0,0,1
952,1714.0,779.0,10.0,3.0,23.55,92.6,0.86,2.0,0,1
6334,1984.0,1094.0,31.4,38.0,2.5,92.0,1.55,2.0,0,0
3021,1009.0,578.0,10.1,6.0,8.7,93.7,1.18,2.0,1,1
3308,1622.0,795.0,3.2,31.0,2.9,93.5,1.71,2.0,1,1
1504,1870.0,722.0,34.9,12.0,9.9,87.1,1.05,2.0,0,1
5095,1673.0,629.0,11.2,17.0,2.8,95.7,1.56,2.0,0,1
1806,2289.0,624.0,24.2,69.0,4.6,92.5,1.02,2.0,0,1
5023,1907.0,260.0,12.4,74.5,9.5,93.7,1.63,2.0,0,1
8243,2739.0,1021.0,12.4,10.0,1.1,88.1,1.25,2.0,1,0
3791,1092.0,200.0,53.7,6.0,7.6,92.0,2.05,2.0,1,1
1121,828.0,405.0,6.9,26.0,8.7,96.6,1.74,2.0,0,1
5527,3150.0,897.0,12.8,16.0,3.9,93.9,1.37,2.0,0,1
8565,1764.0,200.0,52.3,50.0,3.0,88.6,1.63,2.0,1,0
5893,1520.0,721.0,46.5,9.0,2.8,88.9,1.27,2.0,0,1
4755,1251.0,247.0,13.9,15.0,20.1,88.9,2.3,2.0,0,1
4838,2005.0,861.0,18.0,13.0,9.0,90.8,2.01,2.0,0,1
5928,736.0,774.0,11.1,10.0,3.7,94.5,1.89,2.0,0,1
5846,2126.0,1211.0,13.0,9.0,7.1,97.2,1.06,2.0,0,1
6375,2927.0,484.0,24.7,34.0,18.2,93.8,1.07,2.0,0,0
1848,1261.0,707.0,39.9,38.0,23.55,95.0,1.65,2.0,0,1
416,1631.0,200.0,26.1,7.0,6.0,87.4,1.25,2.0,0,1
2973,1267.0,288.0,20.0,52.0,0.5,90.9,1.92,2.0,1,1
5793,2531.0,957.0,43.2,8.0,2.1,95.1,1.36,2.0,0,1
2431,2130.0,1105.0,31.5,12.0,7.1,91.2,1.16,2.0,0,1
2518,2416.0,1141.0,23.5,32.0,3.7,88.6,1.16,2.0,0,1
564,1736.0,200.0,59.5,18.0,0.5,99.0,1.42,2.0,0,1
2526,1838.0,434.0,16.5,19.0,9.4,98.7,1.94,2.0,0,1
5484,2732.0,495.0,60.1,9.0,8.4,93.4,1.16,2.0,0,1
4860,3444.0,1801.5,41.9,72.0,6.6,91.3,1.15,2.0,0,1
3251,1743.0,734.0,12.1,2.0,0.5,91.2,0.96,2.0,1,1
1224,2966.0,1593.0,19.9,8.0,1.7,99.0,1.71,2.0,0,1
142,1332.0,200.0,39.5,73.0,4.3,90.4,1.47,2.0,0,1
7718,2682.0,658.0,31.4,23.0,8.3,98.8,1.81,2.0,1,0
1490,1958.0,299.0,50.6,10.0,5.7,88.7,1.25,2.0,0,1
7598,2849.0,1091.0,48.2,34.0,4.2,88.3,1.96,2.0,1,0
4840,1958.0,1006.0,39.2,15.0,1.5,97.4,0.99,2.0,0,1
1590,3566.625,1404.0,36.2,56.0,8.3,86.8,0.89,1.0,0,1
5102,1633.0,405.0,28.7,35.0,3.6,88.5,1.51,2.0,0,1
4786,1422.0,811.0,8.1,74.5,2.8,95.3,1.13,2.0,0,1
2653,1709.0,884.0,15.0,49.0,4.7,97.4,1.69,2.0,0,1
2004,1858.0,200.0,34.6,23.0,5.9,88.7,1.8,2.0,0,1
1194,1721.0,1006.0,52.4,46.0,9.6,92.1,1.25,2.0,0,1
4235,1107.0,1010.0,13.2,9.0,0.5,95.5,1.12,2.0,1,1
3409,1251.0,200.0,18.3,37.0,8.3,95.1,0.93,2.0,1,1
1117,1573.0,200.0,53.3,74.5,22.3,90.6,1.78,2.0,0,1
7476,1285.0,1057.0,18.1,6.0,2.3,93.6,1.68,2.0,1,0
1756,2326.0,614.0,10.2,40.0,1.6,94.5,1.14,1.0,0,1
497,976.0,227.0,13.3,32.0,3.4,94.7,1.98,2.0,0,1
3997,1752.0,1001.0,43.4,7.0,14.4,92.4,1.36,2.0,1,1
12,907.0,789.0,40.1,4.0,17.1,95.8,1.73,2.0,0,1
870,742.0,296.0,39.9,11.0,2.3,96.5,1.47,2.0,0,1
3357,1295.0,200.0,44.3,27.0,23.55,96.1,1.77,2.0,1,1
912,1947.0,200.0,19.2,15.0,1.4,92.7,1.18,2.0,0,1
3582,1743.0,649.0,17.6,57.0,3.1,95.0,1.12,2.0,1,1
721,1516.0,987.0,14.2,7.0,9.3,95.9,1.22,2.0,0,1
4001,3566.625,882.0,28.8,15.0,2.8,96.8,1.4,1.0,1,1
8947,1977.0,200.0,39.0,23.0,2.9,98.0,1.83,2.0,1,0
7128,1241.0,200.0,19.4,41.0,0.8,96.8,1.3,2.0,0,0
8629,700.0,200.0,7.6,1.0,12.2,90.4,1.33,2.0,1,0
5307,2499.0,737.0,14.8,72.0,7.3,85.1,1.58,2.0,0,1
1496,1670.0,323.0,36.6,0.0,4.1,93.9,1.66,2.0,0,1
6845,882.0,200.0,54.6,17.0,4.3,97.6,1.65,2.0,0,0
1520,1775.0,200.0,20.6,43.0,4.3,96.1,0.86,2.0,0,1
8909,1191.0,200.0,42.3,6.0,2.2,97.1,1.09,2.0,1,0
6914,1278.0,852.0,50.9,25.0,8.0,97.2,1.78,2.0,0,0
2746,1366.0,466.0,68.7,28.0,17.3,90.8,1.38,1.0,0,1
8065,3566.625,1534.0,4.0,29.0,0.5,96.3,1.22,2.0,1,0
5755,1809.0,1153.0,47.3,9.0,3.8,94.1,1.32,2.0,0,1
